wikiSchool,status,candidateIds,candidateNames,confirmedTeamId
Wesley College (Delaware),unmatched,,,NEW
Wesleyan University,suggested,336,Wesleyan University (CT),336
University of West Alabama,suggested,2695,West Alabama,2695
West Chester University,suggested,223,West Chester,223
University of West Florida,suggested,110242,West Florida,110242
University of West Georgia,suggested,2698,West Georgia,2698
West Liberty University,suggested,2699,West Liberty,2699
West Texas A&M University,suggested,2704,West Texas A&M,2704
West Virginia University,suggested,277,West Virginia,277
West Virginia Wesleyan College,suggested,455,West Virginia Wesleyan,455
Western Carolina University,suggested,2717,Western Carolina,2717
Western Illinois University,suggested,2710,Western Illinois,2710
Western Kentucky University,suggested,98,Western Kentucky,98
Western Michigan University,suggested,2711,Western Michigan,2711
University of Western Ontario,unmatched,,,
Western Oregon University,suggested,2848,Western Oregon,2848
Western New Mexico University,suggested,2703,Western New Mexico,2703
Western Colorado University,suggested,2714,Western Colorado,2714
Western Washington University,unmatched,,,NEW
Wheaton College (Illinois),suggested,396,Wheaton,396
Wheeling University,suggested,112335,Wheeling,112335
Whitworth University,suggested,2721,Whitworth,2721
Wichita State University,unmatched,,,NEW
Widener University,suggested,2725,Widener,2725
Wilfrid Laurier University,unmatched,,,
College of William & Mary,suggested,2729,William & Mary,2729
William Penn University,unmatched,,,NEW
Williams College,suggested,2731,Williams,2731
Wingate University,suggested,351,Wingate,351
Winston-Salem State University,unmatched,,,2736
University of Wisconsin–Madison,unmatched,,,275
University of Wisconsin–Eau Claire,suggested,2738,Wisconsin-Eau Claire,2738
University of Wisconsin–La Crosse,unmatched,,,2740
University of Wisconsin–Milwaukee,unmatched,,,NEW
University of Wisconsin–Platteville,suggested,272,Wisconsin-Platteville,272
University of Wisconsin–River Falls,suggested,2723,Wisconsin-River Falls,2723
University of Wisconsin–Stevens Point,unmatched,,,2743
University of Wisconsin–Stout,suggested,2744,Wisconsin-Stout,2744
University of Wisconsin–Superior,unmatched,,,NEW
University of Wisconsin–Whitewater,suggested,2745,Wisconsin-Whitewater,2745
Wofford College,suggested,2747,Wofford,2747
College of Wooster,suggested,2748,Wooster,2748
University of Wyoming,suggested,2751,Wyoming,2751
Yale University,suggested,43,Yale,43
